,id,text
38,1450698473192321028,"Tobey for NWYH. We will see him soon. 

#spiderman1 #spiderman2 #spiderman3 #marvel #tobeymaguire #SpiderManNoWayHome #harryosborn #peterparker #venom #stanlee #normanosborn #greengoblin #sandman #raimi #releasetheraimicut #spectacularspiderman #otto #nowayhome #spiderverse https://t.co/blK9XFJuzn"
39,1450681519245197321,"October Art Challenge Day 20

Spiderman

#SpiderMan #Spiderman2 #art #artph #ArtistOnTwitter https://t.co/1yphSQNLIg"
40,1450621540026966017,@ArtStationHQ new concept art Spartan warrior Peter Parker captain America super soldier 🇺🇸🕷️👌🏼🕷️🕷️🕷️🕷️ #insomniacgames #Spiderman2 https://t.co/EmPdrQU9lK
41,1450615422626185216,"Who wants to join 🥵😈🩲

https://t.co/uwttyDzVEK

#onlyfans #tuesdayvibe #sellingcontent #Spiderman2 #fitness #abs #Twitter #rt https://t.co/Ar4noSri9J"
42,1450614339472347139,"Spidey got cakes. Want another slice? Hop on my OF. Retweet and follow

https://t.co/uwttyDzVEK

#onlyfans #Spiderman2 #sellingcontent https://t.co/ov7Zm4V2yA"
43,1450568181127516166,@the_Willard hello chris how are you today I want to present you a new suit for Peter Parker is the fusion of spidey and the CAP I hope you like it and they approve it is him 2023 #insomniacgames #SpiderManPS5 #spiderman2 https://t.co/xJGp40C6tA
44,1450565880358727682,"🚨BREAKING: Marc Webb's The Amazing Spiderman 2 Directors Cut Will Release in 2023 along with the suit in the PS5 Game.🕷️

#SpiderMan #TobeyMaguire #AndrewGarfield #SpiderMan2 #SpiderManPS5 #SpiderManPS4
#Tasm
Source: https://t.co/ESXNKffdMa https://t.co/ePlVquESkU"
45,1450542621357527040,"🚨BREAKING: Reports are saying Spider-Man 2 (Video Game) has been postponed because of disc Shortages!
The game will now release in 2024.

#spiderman2 #SpiderManPS4 #SpiderManPS5 #Spiderman #SpiderManNoWayHome https://t.co/2YG1uJqAt8"
46,1450541722975490050,Day 38 of asking Insomniac to please add the Captain Universe suit to Spider-Man 2 for either Peter or Miles or both 🙌 #SpiderManPS5 #SpiderMan2 #InsomniacGames https://t.co/chozoayjBr
47,1450497613787107339,I can't choose one 😭 so here's my top 4... ✨😅 #spiderman2 #SpiderMan #burnout #katamaridamacy #cityofheroes #coh https://t.co/3fFcM9pWnW https://t.co/HxtuCG1Vg1
